"studyid","workflowid","threshold","numerator","denominator","log_denominator","gsm_analysis_date"
"AA-AA-000-0000","kri0001",2,2.93789129006385,254.929485766191,5.54098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,3.02124308358391,268,5.59098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,3.10716528669434,281.740653828774,5.64098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,3.1957465722161,296.185806044274,5.69098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,3.28707906786409,311.37157705118,5.74098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,3.38125850575294,327.335939186926,5.79098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,3.47838437886865,344.118811672315,5.84098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,3.57856010484552,361.762160430369,5.89098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,3.68189319740486,380.310103022993,5.94098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,3.78849544582943,399.809018967861,5.99098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,3.8984831028669,420.307665711365,6.04098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,4.01197708147456,441.857300547634,6.09098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,4.12910316083881,464.511808788462,6.14098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,4.24999220212415,488.327838504657,6.19098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,4.37478037442963,513.364942175724,6.24098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,4.50360939145428,539.685725602088,6.29098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,4.63662675939855,567.356004452197,6.34098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,4.7739860366551,596.444968835981,6.39098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,4.91584710586994,627.025356316166,6.44098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,5.06237645898443,659.173633790063,6.49098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,5.21374749589908,692.970188696647,6.54098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,5.37014083743251,728.499530027024,6.59098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,5.53174465328255,765.850499640928,6.64098698051086,2022-10-31
"AA-AA-000-0000","kri0001",2,5.6987550057325,805.116494417644,6.69098698051086,2022-10-31
