"studyid","workflowid","param","value","gsm_analysis_date"
"AA-AA-000-0000","qtl0004","LowCI",0.24236750000514,"2015-12-01"
"AA-AA-000-0000","qtl0004","Estimate",0.268226822682268,"2015-12-01"
"AA-AA-000-0000","qtl0004","UpCI",0.295319557407274,"2015-12-01"
"AA-AA-000-0000","qtl0004","Score",0.24236750000514,"2015-12-01"
"AA-AA-000-0000","qtl0006","LowCI",0.0518536141773535,"2015-12-01"
"AA-AA-000-0000","qtl0006","Estimate",0.0657065706570657,"2015-12-01"
"AA-AA-000-0000","qtl0006","UpCI",0.0819102470024796,"2015-12-01"
"AA-AA-000-0000","qtl0006","Score",0.0518536141773535,"2015-12-01"
