"","studyid","workflowid","threshold","numerator","denominator","log_denominator","gsm_analysis_date"
"1","AA-AA-000-0000","cou0001",-3,274.220020345917,97957.388,11.4922878467661,"2015-12-01"
"2","AA-AA-000-0000","cou0001",-3,280.787978104811,99704,11.5099610755062,"2015-12-01"
"3","AA-AA-000-0000","cou0001",-3,287.370445991927,101450.612,11.5273273777641,"2015-12-01"
"4","AA-AA-000-0000","cou0001",-3,293.967050860695,103197.224,11.544397232443,"2015-12-01"
"5","AA-AA-000-0000","cou0001",-3,300.577435288768,104943.836,11.5611805907941,"2015-12-01"
"6","AA-AA-000-0000","cou0001",-3,307.201256665719,106690.448,11.5776869112581,"2015-12-01"
"7","AA-AA-000-0000","cou0001",-3,313.838186347674,108437.06,11.5939251914782,"2015-12-01"
"8","AA-AA-000-0000","cou0001",-3,320.487908872986,110183.672,11.609903997754,"2015-12-01"
"9","AA-AA-000-0000","cou0001",-3,327.150121233655,111930.284,11.6256314921802,"2015-12-01"
"10","AA-AA-000-0000","cou0001",-3,333.824532197708,113676.896,11.6411154576832,"2015-12-01"
"11","AA-AA-000-0000","cou0001",-3,340.510861678262,115423.508,11.6563633211491,"2015-12-01"
"12","AA-AA-000-0000","cou0001",-3,347.208840145403,117170.12,11.6713821748146,"2015-12-01"
"13","AA-AA-000-0000","cou0001",-3,353.918208077367,118916.732,11.6861787960752,"2015-12-01"
"14","AA-AA-000-0000","cou0001",-3,360.638715447867,120663.344,11.7007596658491,"2015-12-01"
"15","AA-AA-000-0000","cou0001",-3,367.37012124671,122409.956,11.7151309856217,"2015-12-01"
"16","AA-AA-000-0000","cou0001",-3,374.112193031077,124156.568,11.7292986932824,"2015-12-01"
"17","AA-AA-000-0000","cou0001",-3,380.86470650512,125903.18,11.7432684778548,"2015-12-01"
"18","AA-AA-000-0000","cou0001",-3,387.627445125716,127649.792,11.7570457932128,"2015-12-01"
"19","AA-AA-000-0000","cou0001",-3,394.400199732414,129396.404,11.7706358708637,"2015-12-01"
"20","AA-AA-000-0000","cou0001",-3,401.182768199791,131143.016,11.7840437318756,"2015-12-01"
"21","AA-AA-000-0000","cou0001",-3,407.97495511057,132889.628,11.7972741980139,"2015-12-01"
"22","AA-AA-000-0000","cou0001",-3,414.776571448018,134636.24,11.8103319021527,"2015-12-01"
"23","AA-AA-000-0000","cou0001",-3,421.587434306241,136382.852,11.8232212980132,"2015-12-01"
"24","AA-AA-000-0000","cou0001",-3,428.407366617121,138129.464,11.835946669284,"2015-12-01"
"25","AA-AA-000-0000","cou0001",-3,435.236196892751,139876.076,11.8485121381673,"2015-12-01"
"26","AA-AA-000-0000","cou0001",-3,442.073758982292,141622.688,11.8609216733956,"2015-12-01"
"27","AA-AA-000-0000","cou0001",-3,448.919891842288,143369.3,11.8731790977565,"2015-12-01"
"28","AA-AA-000-0000","cou0001",-3,455.774439319532,145115.912,11.8852880951617,"2015-12-01"
"29","AA-AA-000-0000","cou0001",-3,462.637249945665,146862.524,11.897252217294,"2015-12-01"
"30","AA-AA-000-0000","cou0001",-3,469.508176742727,148609.136,11.9090748898605,"2015-12-01"
"31","AA-AA-000-0000","cou0001",-3,476.387077038971,150355.748,11.9207594184807,"2015-12-01"
"32","AA-AA-000-0000","cou0001",-3,483.273812294276,152102.36,11.9323089942348,"2015-12-01"
"33","AA-AA-000-0000","cou0001",-3,490.168247934553,153848.972,11.9437266988949,"2015-12-01"
"34","AA-AA-000-0000","cou0001",-3,497.070253194592,155595.584,11.955015509861,"2015-12-01"
"35","AA-AA-000-0000","cou0001",-3,503.979700968823,157342.196,11.9661783048216,"2015-12-01"
"36","AA-AA-000-0000","cou0001",-3,510.896467669516,159088.808,11.977217866157,"2015-12-01"
"37","AA-AA-000-0000","cou0001",-3,517.820433091962,160835.42,11.9881368851022,"2015-12-01"
"38","AA-AA-000-0000","cou0001",-3,524.75148028623,162582.032,11.9989379656848,"2015-12-01"
"39","AA-AA-000-0000","cou0001",-3,531.689495435107,164328.644,12.0096236284526,"2015-12-01"
"40","AA-AA-000-0000","cou0001",-3,538.634367737858,166075.256,12.0201963140045,"2015-12-01"
"41","AA-AA-000-0000","cou0001",-3,545.585989299477,167821.868,12.0306583863358,"2015-12-01"
"42","AA-AA-000-0000","cou0001",-3,552.544255025107,169568.48,12.0410121360113,"2015-12-01"
"43","AA-AA-000-0000","cou0001",-3,559.509062519349,171315.092,12.0512597831751,"2015-12-01"
"44","AA-AA-000-0000","cou0001",-3,566.480311990172,173061.704,12.0614034804083,"2015-12-01"
"45","AA-AA-000-0000","cou0001",-3,573.457906157178,174808.316,12.0714453154427,"2015-12-01"
"46","AA-AA-000-0000","cou0001",-3,580.441750163986,176554.928,12.0813873137396,"2015-12-01"
"47","AA-AA-000-0000","cou0001",-3,587.431751494501,178301.54,12.0912314409424,"2015-12-01"
"48","AA-AA-000-0000","cou0001",-3,594.427819892869,180048.152,12.1009796052087,"2015-12-01"
"49","AA-AA-000-0000","cou0001",-3,601.429867286919,181794.764,12.1106336594307,"2015-12-01"
"50","AA-AA-000-0000","cou0001",-3,608.437807714899,183541.376,12.1201954033483,"2015-12-01"
"51","AA-AA-000-0000","cou0001",-3,615.451557255358,185287.988,12.1296665855635,"2015-12-01"
"52","AA-AA-000-0000","cou0001",-3,622.471033959976,187034.6,12.1390489054594,"2015-12-01"
"53","AA-AA-000-0000","cou0001",-3,629.496157789226,188781.212,12.14834401503,"2015-12-01"
"54","AA-AA-000-0000","cou0001",-3,636.526850550703,190527.824,12.1575535206263,"2015-12-01"
"55","AA-AA-000-0000","cou0001",-3,643.563035839987,192274.436,12.1666789846223,"2015-12-01"
"56","AA-AA-000-0000","cou0001",-3,650.604638983926,194021.048,12.1757219270057,"2015-12-01"
"57","AA-AA-000-0000","cou0001",-3,657.651586986208,195767.66,12.1846838268974,"2015-12-01"
"58","AA-AA-000-0000","cou0001",-3,664.703808475111,197514.272,12.1935661240036,"2015-12-01"
"59","AA-AA-000-0000","cou0001",-3,671.761233653329,199260.884,12.2023702200037,"2015-12-01"
"60","AA-AA-000-0000","cou0001",-3,678.823794249779,201007.496,12.2110974798782,"2015-12-01"
"61","AA-AA-000-0000","cou0001",-3,685.891423473279,202754.108,12.2197492331781,"2015-12-01"
"62","AA-AA-000-0000","cou0001",-3,692.964055968023,204500.72,12.2283267752412,"2015-12-01"
"63","AA-AA-000-0000","cou0001",-3,700.041627770764,206247.332,12.2368313683557,"2015-12-01"
"64","AA-AA-000-0000","cou0001",-3,707.124076269623,207993.944,12.245264242875,"2015-12-01"
"65","AA-AA-000-0000","cou0001",-3,714.211340164453,209740.556,12.253626598286,"2015-12-01"
"66","AA-AA-000-0000","cou0001",-3,721.303359428688,211487.168,12.2619196042331,"2015-12-01"
"67","AA-AA-000-0000","cou0001",-3,728.400075272597,213233.78,12.2701444014998,"2015-12-01"
"68","AA-AA-000-0000","cou0001",-3,735.501430107902,214980.392,12.2783021029508,"2015-12-01"
"69","AA-AA-000-0000","cou0001",-3,742.607367513684,216727.004,12.2863937944354,"2015-12-01"
"70","AA-AA-000-0000","cou0001",-3,749.717832203511,218473.616,12.2944205356548,"2015-12-01"
"71","AA-AA-000-0000","cou0001",-3,756.832769993767,220220.228,12.3023833609954,"2015-12-01"
"72","AA-AA-000-0000","cou0001",-3,763.952127773092,221966.84,12.3102832803283,"2015-12-01"
"73","AA-AA-000-0000","cou0001",-3,771.075853472906,223713.452,12.3181212797784,"2015-12-01"
"74","AA-AA-000-0000","cou0001",-3,778.203896038978,225460.064,12.3258983224626,"2015-12-01"
"75","AA-AA-000-0000","cou0001",-3,785.336205403964,227206.676,12.3336153492003,"2015-12-01"
"76","AA-AA-000-0000","cou0001",-3,792.472732460913,228953.288,12.3412732791964,"2015-12-01"
"77","AA-AA-000-0000","cou0001",-3,799.613429037666,230699.9,12.3488730106984,"2015-12-01"
"78","AA-AA-000-0000","cou0001",-3,806.758247872136,232446.512,12.3564154216286,"2015-12-01"
"79","AA-AA-000-0000","cou0001",-3,813.907142588415,234193.124,12.363901370193,"2015-12-01"
"80","AA-AA-000-0000","cou0001",-3,821.060067673688,235939.736,12.3713316954667,"2015-12-01"
"81","AA-AA-000-0000","cou0001",-3,828.216978455904,237686.348,12.3787072179589,"2015-12-01"
"82","AA-AA-000-0000","cou0001",-3,835.377831082199,239432.96,12.3860287401565,"2015-12-01"
"83","AA-AA-000-0000","cou0001",-3,842.542582498016,241179.572,12.3932970470478,"2015-12-01"
