"","studyid","workflowid","gsm_version","param","index","value","gsm_analysis_date"
"70","AA-AA-000-0000","cou0002","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"71","AA-AA-000-0000","cou0003","1.6.0","vThreshold",1,"-3","2019-12-01"
"72","AA-AA-000-0000","cou0003","1.6.0","vThreshold",2,"-2","2019-12-01"
"73","AA-AA-000-0000","cou0003","1.6.0","vThreshold",3,"2","2019-12-01"
"74","AA-AA-000-0000","cou0003","1.6.0","vThreshold",4,"3","2019-12-01"
"75","AA-AA-000-0000","cou0003","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"76","AA-AA-000-0000","cou0004","1.6.0","vThreshold",1,"-3","2019-12-01"
"77","AA-AA-000-0000","cou0004","1.6.0","vThreshold",2,"-2","2019-12-01"
"78","AA-AA-000-0000","cou0004","1.6.0","vThreshold",3,"2","2019-12-01"
"79","AA-AA-000-0000","cou0004","1.6.0","vThreshold",4,"3","2019-12-01"
"80","AA-AA-000-0000","cou0004","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"81","AA-AA-000-0000","cou0005","1.6.0","vThreshold",1,"-3","2019-12-01"
"82","AA-AA-000-0000","cou0005","1.6.0","vThreshold",2,"-2","2019-12-01"
"83","AA-AA-000-0000","cou0005","1.6.0","vThreshold",3,"2","2019-12-01"
"84","AA-AA-000-0000","cou0005","1.6.0","vThreshold",4,"3","2019-12-01"
"85","AA-AA-000-0000","cou0005","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"86","AA-AA-000-0000","cou0006","1.6.0","vThreshold",1,"-3","2019-12-01"
"87","AA-AA-000-0000","cou0006","1.6.0","vThreshold",2,"-2","2019-12-01"
"88","AA-AA-000-0000","cou0006","1.6.0","vThreshold",3,"2","2019-12-01"
"89","AA-AA-000-0000","cou0006","1.6.0","vThreshold",4,"3","2019-12-01"
"90","AA-AA-000-0000","cou0006","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"91","AA-AA-000-0000","cou0007","1.6.0","vThreshold",1,"-3","2019-12-01"
"92","AA-AA-000-0000","cou0007","1.6.0","vThreshold",2,"-2","2019-12-01"
"93","AA-AA-000-0000","cou0007","1.6.0","vThreshold",3,"2","2019-12-01"
"94","AA-AA-000-0000","cou0007","1.6.0","vThreshold",4,"3","2019-12-01"
"95","AA-AA-000-0000","cou0007","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"96","AA-AA-000-0000","cou0008","1.6.0","vThreshold",1,"-3","2019-12-01"
"97","AA-AA-000-0000","cou0008","1.6.0","vThreshold",2,"-2","2019-12-01"
"98","AA-AA-000-0000","cou0008","1.6.0","vThreshold",3,"2","2019-12-01"
"99","AA-AA-000-0000","cou0008","1.6.0","vThreshold",4,"3","2019-12-01"
"100","AA-AA-000-0000","cou0008","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"101","AA-AA-000-0000","cou0009","1.6.0","vThreshold",1,"-3","2019-12-01"
"102","AA-AA-000-0000","cou0009","1.6.0","vThreshold",2,"-2","2019-12-01"
"103","AA-AA-000-0000","cou0009","1.6.0","vThreshold",3,"2","2019-12-01"
"104","AA-AA-000-0000","cou0009","1.6.0","vThreshold",4,"3","2019-12-01"
"105","AA-AA-000-0000","cou0009","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"106","AA-AA-000-0000","cou0010","1.6.0","vThreshold",1,"-3","2019-12-01"
"107","AA-AA-000-0000","cou0010","1.6.0","vThreshold",2,"-2","2019-12-01"
"108","AA-AA-000-0000","cou0010","1.6.0","vThreshold",3,"2","2019-12-01"
"109","AA-AA-000-0000","cou0010","1.6.0","vThreshold",4,"3","2019-12-01"
"110","AA-AA-000-0000","cou0010","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"111","AA-AA-000-0000","cou0011","1.6.0","vThreshold",1,"-3","2019-12-01"
"112","AA-AA-000-0000","cou0011","1.6.0","vThreshold",2,"-2","2019-12-01"
"113","AA-AA-000-0000","cou0011","1.6.0","vThreshold",3,"2","2019-12-01"
"114","AA-AA-000-0000","cou0011","1.6.0","vThreshold",4,"3","2019-12-01"
"115","AA-AA-000-0000","cou0011","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"116","AA-AA-000-0000","cou0012","1.6.0","vThreshold",1,"-3","2019-12-01"
"117","AA-AA-000-0000","cou0012","1.6.0","vThreshold",2,"-2","2019-12-01"
"118","AA-AA-000-0000","cou0012","1.6.0","vThreshold",3,"2","2019-12-01"
"119","AA-AA-000-0000","cou0012","1.6.0","vThreshold",4,"3","2019-12-01"
"120","AA-AA-000-0000","cou0012","1.6.0","strMethod",NA,"NormalApprox","2019-12-01"
"121","AA-AA-000-0000","qtl0004","1.6.0","vThreshold",1,"0.01","2019-12-01"
"122","AA-AA-000-0000","qtl0004","1.6.0","strMethod",NA,"qtl","2019-12-01"
"123","AA-AA-000-0000","qtl0006","1.6.0","vThreshold",1,"0.2","2019-12-01"
"124","AA-AA-000-0000","qtl0006","1.6.0","strMethod",NA,"qtl","2019-12-01"
