"studyid","workflowid","param","value","gsm_analysis_date"
"AA-AA-000-0000","qtl0004","LowCI",0.240617526937064,2023-04-18
"AA-AA-000-0000","qtl0004","Estimate",0.264411990776326,2023-04-18
"AA-AA-000-0000","qtl0004","UpCI",0.289275590485121,2023-04-18
"AA-AA-000-0000","qtl0004","Score",0.240617526937064,2023-04-18
"AA-AA-000-0000","qtl0006","LowCI",0.0552947891796836,2023-04-18
"AA-AA-000-0000","qtl0006","Estimate",0.0684089162182936,2023-04-18
"AA-AA-000-0000","qtl0006","UpCI",0.0835113165922339,2023-04-18
"AA-AA-000-0000","qtl0006","Score",0.0552947891796836,2023-04-18
