"studyid","workflowid","groupid","numerator","denominator","metric","score","flag","gsm_analysis_date"
"AA-AA-000-0000","kri0001","146",58,5983,0.00969413337790406,1.24748218196164,0,2023-04-18
"AA-AA-000-0000","kri0001","12",6,624,0.00961538461538462,0.396000252288008,0,2023-04-18
"AA-AA-000-0000","kri0001","47",24,2522,0.00951625693893735,0.778724717173544,0,2023-04-18
"AA-AA-000-0000","kri0001","134",42,4554,0.00922266139657444,0.977212694675832,0,2023-04-18
"AA-AA-000-0000","kri0001","116",16,1739,0.00920069005175388,0.600667831350454,0,2023-04-18
"AA-AA-000-0000","kri0001","15",32,3550,0.00901408450704225,0.819380772750008,0,2023-04-18
"AA-AA-000-0000","kri0001","82",12,1345,0.00892193308550186,0.492544956857528,0,2023-04-18
"AA-AA-000-0000","kri0001","112",14,1596,0.0087719298245614,0.515604873161959,0,2023-04-18
"AA-AA-000-0000","kri0001","59",50,5719,0.00874278720055954,0.968325466045051,0,2023-04-18
"AA-AA-000-0000","kri0001","86",130,15047,0.00863959593274407,1.52645640567711,0,2023-04-18
"AA-AA-000-0000","kri0001","39",25,2957,0.0084545147108556,0.641524869895734,0,2023-04-18
"AA-AA-000-0000","kri0001","133",31,3699,0.00838064341713977,0.70181869062181,0,2023-04-18
"AA-AA-000-0000","kri0001","40",12,1456,0.00824175824175824,0.421802206357127,0,2023-04-18
"AA-AA-000-0000","kri0001","56",148,18146,0.00815606745288218,1.44875839709029,0,2023-04-18
"AA-AA-000-0000","kri0001","87",6,750,0.008,0.279603866786035,0,2023-04-18
"AA-AA-000-0000","kri0001","130",15,1876,0.00799573560767591,0.44156518578069,0,2023-04-18
"AA-AA-000-0000","kri0001","60",18,2298,0.00783289817232376,0.461443799120381,0,2023-04-18
"AA-AA-000-0000","kri0001","179",24,3130,0.00766773162939297,0.506257866527126,0,2023-04-18
"AA-AA-000-0000","kri0001","4",47,6192,0.00759043927648579,0.690811074330265,0,2023-04-18
"AA-AA-000-0000","kri0001","8",134,17767,0.00754207238138121,1.1476540241023,0,2023-04-18
"AA-AA-000-0000","kri0001","111",12,1597,0.00751408891671885,0.34017108513293,0,2023-04-18
"AA-AA-000-0000","kri0001","28",13,1755,0.00740740740740741,0.340989633681458,0,2023-04-18
"AA-AA-000-0000","kri0001","183",11,1513,0.00727032385988103,0.297981289216,0,2023-04-18
"AA-AA-000-0000","kri0001","151",17,2376,0.00715488215488216,0.353758696406328,0,2023-04-18
"AA-AA-000-0000","kri0001","159",4,560,0.00714285714285714,0.170748491520602,0,2023-04-18
"AA-AA-000-0000","kri0001","80",31,4370,0.00709382151029748,0.465660076802679,0,2023-04-18
"AA-AA-000-0000","kri0001","190",34,4955,0.00686175580221998,0.438785075729713,0,2023-04-18
"AA-AA-000-0000","kri0001","62",161,23569,0.00683100683100683,0.940484431269315,0,2023-04-18
"AA-AA-000-0000","kri0001","138",32,4705,0.00680127523910733,0.413080498819225,0,2023-04-18
"AA-AA-000-0000","kri0001","135",25,3676,0.00680087051142546,0.365040170780427,0,2023-04-18
"AA-AA-000-0000","kri0001","181",14,2089,0.00670177118238392,0.259360850919592,0,2023-04-18
"AA-AA-000-0000","kri0001","170",137,20714,0.00661388432943903,0.772522110841321,0,2023-04-18
"AA-AA-000-0000","kri0001","163",15,2282,0.00657318141980719,0.249618741712482,0,2023-04-18
"AA-AA-000-0000","kri0001","124",17,2632,0.00645896656534954,0.247609532140963,0,2023-04-18
"AA-AA-000-0000","kri0001","129",9,1423,0.00632466619817287,0.164367569509828,0,2023-04-18
"AA-AA-000-0000","kri0001","136",11,1765,0.00623229461756374,0.169500439610662,0,2023-04-18
"AA-AA-000-0000","kri0001","94",155,24999,0.0062002480099204,0.62021036501462,0,2023-04-18
"AA-AA-000-0000","kri0001","122",39,6484,0.00601480567550895,0.263700023114376,0,2023-04-18
"AA-AA-000-0000","kri0001","46",4,673,0.00594353640416048,0.0784977271432119,0,2023-04-18
"AA-AA-000-0000","kri0001","98",8,1346,0.00594353640416048,0.111012550341393,0,2023-04-18
"AA-AA-000-0000","kri0001","70",12,2020,0.00594059405940594,0.135533758624913,0,2023-04-18
"AA-AA-000-0000","kri0001","164",28,4932,0.0056772100567721,0.147163875121082,0,2023-04-18
"AA-AA-000-0000","kri0001","166",76,13419,0.00566361129741411,0.237241769726057,0,2023-04-18
"AA-AA-000-0000","kri0001","48",3,531,0.00564971751412429,0.0460746681629537,0,2023-04-18
"AA-AA-000-0000","kri0001","68",15,2679,0.00559910414333707,0.0943393228614632,0,2023-04-18
